tick,wind,sun,s1,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
23,3.982468138119894,8.912893263203697,2.2119140625,4.072265625,4.0576171875,2.958984375,4.1015625,4.306640625,4.7607421875,4.1748046875,3.134765625,3.3837890625,4.306640625,4.599609375,4.306640625,3.486328125,3.6181640625,4.3359375,4.9072265625,4.2333984375,3.134765625,3.1787109375,4.74609375,4.8193359375,4.453125,3.369140625,1.2618903484609393e-2,4.113703552219604e-2,5.5092904302808995e-3,4.139211442735461e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4.648353446956672,9.675735241222041,3.1640625,5.2587890625,5.244140625,3.9697265625,5.1416015625,5.4931640625,5.9619140625,5.302734375,4.130859375,4.3798828125,5.4345703125,5.7861328125,5.4345703125,4.4970703125,4.6142578125,5.537109375,6.09375,5.3759765625,4.130859375,4.1162109375,5.8740234375,6.0791015625,5.6396484375,4.365234375,9.093847539689807e-3,6.46751787927416e-2,1.0184012353420258e-2,6.467517879274157e-5,0.0,0.0,0.0,0.0,0.0,0.0,5.174014303419326e-7,0.0,0.0,0.0,0.0,0.0
25,4.749433268310153,10.63977816704814,3.603515625,5.888671875,5.80078125,4.4091796875,5.6689453125,6.0498046875,6.5185546875,5.8740234375,4.6435546875,4.8193359375,5.9326171875,6.357421875,5.9912109375,4.9951171875,5.1123046875,6.0498046875,6.650390625,5.8740234375,4.6435546875,4.5556640625,6.4306640625,6.650390625,6.2109375,4.9365234375,1.5413906011316513e-2,5.3718168702390476e-2,1.0184012353420258e-2,1.1175870895385742e-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4.620252547749226,11.186577484072444,4.2919921875,6.8408203125,6.73828125,5.2294921875,6.5185546875,6.9873046875,7.529296875,6.767578125,5.44921875,5.6396484375,6.8701171875,7.236328125,6.8701171875,5.80078125,5.9326171875,6.9873046875,7.646484375,6.826171875,5.44921875,5.361328125,7.3681640625,7.646484375,7.1484375,5.7421875,1.859385520219803e-2,9.086396959092885e-2,1.0184012353420258e-2,5.174014303419326e-4,0.0,0.0,1.1175870895385742e-4,0.0,0.0,0.0,4.139211442735461e-6,4.139211442735461e-6,0.0,0.0,0.0,0.0
27,5.218032497181834,12.013291178291464,4.8046875,7.3974609375,7.3095703125,5.6689453125,7.03125,7.5,8.02734375,7.3388671875,5.9619140625,6.0791015625,7.3681640625,7.8076171875,7.4267578125,6.298828125,6.4306640625,7.55859375,8.203125,7.3974609375,5.888671875,5.80078125,7.9248046875,8.2177734375,7.705078125,6.240234375,2.033594581815932e-2,0.13563368055555558,1.2618903484609393e-2,3.0174851417541504e-3,0.0,0.0,1.1367309424612259e-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,6.611722388759086,12.599598285241758,5.3759765625,8.14453125,7.998046875,6.298828125,7.6904296875,8.2470703125,8.7744140625,8.02734375,6.5771484375,6.708984375,8.056640625,8.5693359375,8.115234375,6.9287109375,7.060546875,8.2470703125,8.9501953125,8.1005859375,6.5185546875,6.3720703125,8.6865234375,8.96484375,8.466796875,6.8701171875,4.113703552219604e-2,0.14209136780765325,1.1357996198866106e-2,3.0174851417541504e-3,0.0,0.0,5.174014303419326e-4,3.3113691541883687e-5,0.0,0.0,5.174014303419326e-7,0.0,0.0,0.0,0.0,0.0
29,5.910977353180533,12.40058457164023,5.7568359375,8.7158203125,8.5546875,6.73828125,8.203125,8.8037109375,9.345703125,8.5986328125,7.08984375,7.1484375,8.61328125,9.0673828125,8.61328125,7.3681640625,7.55859375,8.759765625,9.521484375,8.5986328125,6.9580078125,6.8701171875,9.1845703125,9.5361328125,8.96484375,7.3681640625,4.113703552219604e-2,0.2649095323350695,2.6207934651109915e-2,3.5488564107153155e-3,0.0,2.649095323350695e-4,1.1367309424612259e-3,1.3969838619232178e-5,0.0,5.174014303419326e-7,4.139211442735461e-6,0.0,0.0,0.0,5.174014303419326e-7,0.0
30,7.801232303236609,12.661709313867034,5.625,8.525390625,8.3642578125,6.6064453125,8.0126953125,8.5546875,9.1552734375,8.408203125,6.8994140625,7.0166015625,8.4375,8.876953125,8.4375,7.236328125,7.3681640625,8.5693359375,9.3310546875,8.466796875,6.8408203125,6.6796875,8.994140625,9.345703125,8.7744140625,7.177734375,0.10095122787687515,0.9166081953379845,0.2550990838143562,1.3969838619232178e-2,0.0,4.791654646396637e-3,1.1357996198866106e-2,1.4197495248582633e-3,6.886613037851124e-4,8.940696716308594e-4,2.649095323350695e-4,5.174014303419326e-7,0.0,0.0,1.1175870895385742e-4,5.174014303419326e-7
31,7.4080960006036785,12.616350704307775,5.7568359375,8.7158203125,8.5546875,6.73828125,8.203125,8.7451171875,9.345703125,8.5400390625,7.08984375,7.1484375,8.5546875,9.0673828125,8.61328125,7.3681640625,7.5,8.759765625,9.521484375,8.5986328125,6.9580078125,6.8115234375,9.1845703125,9.5361328125,8.96484375,7.3095703125,0.35259458753797757,1.1631654989388256,0.4297453496191238,1.3969838619232178e-2,0.0,1.3969838619232178e-2,2.4139881134033203e-2,1.0184012353420258e-2,2.119276258680556e-3,3.5488564107153155e-3,5.174014303419326e-4,3.3113691541883687e-5,0.0,0.0,2.649095323350695e-4,1.3969838619232178e-5
32,6.692641776060912,12.955658155722489,5.7568359375,8.7158203125,8.5546875,6.73828125,8.14453125,8.7451171875,9.345703125,8.5400390625,7.0166015625,7.1484375,8.5546875,9.0673828125,8.61328125,7.3681640625,7.5,8.759765625,9.4482421875,8.5986328125,6.9580078125,6.8115234375,9.1845703125,9.5361328125,8.96484375,7.3681640625,1.1631654989388256,1.3895431119534707,0.5820062425401477,7.275078031751846e-2,1.3969838619232178e-5,3.565982398059635e-2,5.036178562376235e-2,5.036178562376235e-2,3.5488564107153155e-3,1.6954210069444448e-2,7.152557373046875e-3,1.1367309424612259e-3,0.0,5.174014303419326e-4,4.1392114427354606e-3,4.139211442735461e-6
